blog,post_type,post_summary,post_url
mydaguerreotypeboyfriend,photo,"Michael T. McGreevey and players of the amateur baseball team that he sponsored, the Nuf Ceds, 1910. Note the mascot of the Nuf...",http://mydaguerreotypeboyfriend.tumblr.com/post/58963220566/michael-t-mcgreevey-and-players-of-the-amateur
mydaguerreotypeboyfriend,photo,"A.E. Parr, who would become director of the American Museum of Natural History in the early 1940s. 
 Submitted by jaimealyse",http://mydaguerreotypeboyfriend.tumblr.com/post/57714588050/ae-parr-who-would-become-director-of-the
mydaguerreotypeboyfriend,photo,"From submitter librarywindow
 Found this sailor in the archives of my local public library in west-central Ohio. Gotta love...",http://mydaguerreotypeboyfriend.tumblr.com/post/57712357366/from-submitter-librarywindow-found-this-sailor-in
mydaguerreotypeboyfriend,photo,Daguerreotype of a a young photographer sitting beside his camera (Kaminski auctions),http://mydaguerreotypeboyfriend.tumblr.com/post/57518832147/daguerreotype-of-a-a-young-photographer-sitting
mydaguerreotypeboyfriend,photo,"From submitter Brian Feller:
 Alva Wilder (1842-1918), my great-great Grandfather. Taken we believe in 1862. He was a Civil War...",http://mydaguerreotypeboyfriend.tumblr.com/post/57431235128/from-submitter-brian-feller-alva-wilder
fuckyeahhistorycrushes,video,"The Second Annual Halloween Women Crush, voted for by viewers, is on Leota Toombs Thomas, one of my favorite women to have ever...",http://fuckyeahhistorycrushes.tumblr.com/post/166765599448/princessmscrivener-the-second-annual-halloween
fuckyeahhistorycrushes,photo,Keye Luke was a chinese-american film actor most notable for playing Kato in the 1939-1941 Green Hornet film serials and Mr....,http://fuckyeahhistorycrushes.tumblr.com/post/166645254835/keye-luke-was-a-chinese-american-film-actor-most
fuckyeahhistorycrushes,photo,"Wojciech Weiss (1875-1950), Polish expressionistic painter. 

His self-portrait",http://fuckyeahhistorycrushes.tumblr.com/post/166611196917/wojciech-weiss-1875-1950-polish-expressionistic
fuckyeahhistorycrushes,photo,"you've probably heard of oscar wilde, the handsome devil.
 but this man is my idol. born to a doctor and a poet, he had a great...",http://fuckyeahhistorycrushes.tumblr.com/post/166576900908/youve-probably-heard-of-oscar-wilde-the-handsome
fuckyeahhistorycrushes,photo,My history crush is Swedish poet and writer Gustaf Fröding (1860-1911). His poems often feature descriptions of the beautiful...,http://fuckyeahhistorycrushes.tumblr.com/post/166542428059/my-history-crush-is-swedish-poet-and-writer-gustaf
fuckyeahhistorycrushes,photo,"Manuel Luis Molina Quezon or Manuel L. Quezon for short, was a Filipino lawyer, soldier and politician. Born on August 14, 1878...",http://fuckyeahhistorycrushes.tumblr.com/post/166507679760/manuel-luis-molina-quezon-or-manuel-l-quezon-for
fuckyeahhistorycrushes,photo,"The Grand Duchess of Romanov family Elisabeth Feodorovna, nee Elisabeth von Hessen-Darmstadt. The elder sister of Alix, the...",http://fuckyeahhistorycrushes.tumblr.com/post/166472197664/the-grand-duchess-of-romanov-family-elisabeth
fuckyeahhistorycrushes,photo,"Richard Cromwell (1626-1712) - Second Lord Protector. 
 Lucky enough for us, Richard looks very little like his father! Looks...",http://fuckyeahhistorycrushes.tumblr.com/post/166436062304/richard-cromwell-1626-1712-second-lord
fuckyeahhistorycrushes,photo,Vladimir Komarov and Yuri Gagarin.  Two amazing cosmonauts with a lot of firsts in the Soviet Space Program- and we're talking...,http://fuckyeahhistorycrushes.tumblr.com/post/166399790117/vladimir-komarov-and-yuri-gagarin-two-amazing
fuckyeahhistorycrushes,photo,My history crush Claus von Stauffenberg. Not only is he hot af but he was part of the July 20th plot that tried to kill Hitler...,http://fuckyeahhistorycrushes.tumblr.com/post/166365210370/my-history-crush-claus-von-stauffenberg-not-only
fuckyeahhistorycrushes,photo,"Let's be honest with ourselves: despite all of his (massive) flaws, we all have a crush on Alexander, the babe of Macedonia",http://fuckyeahhistorycrushes.tumblr.com/post/166330680483/lets-be-honest-with-ourselves-despite-all-of-his
fuckyeahhistorycrushes,photo,"Pierre Savorgnan de Brazza, Italian-born French explorer",http://fuckyeahhistorycrushes.tumblr.com/post/166295868073/pierre-savorgnan-de-brazza-italian-born-french
fuckyeahhistorycrushes,photo,Felix Mendelssohn (1809-1847) German composer... I just love all portraits of him.,http://fuckyeahhistorycrushes.tumblr.com/post/166260673832/felix-mendelssohn-1809-1847-german-composer-i
fuckyeahhistorycrushes,photo,"Konstantin Batyushkov (1787-1855) - was a great Russian poet and translator of the Romantic Era.
 Batyuhkov was born in 1787 in...",http://fuckyeahhistorycrushes.tumblr.com/post/166224554133/konstantin-batyushkov-1787-1855-was-a-great
fuckyeahhistorycrushes,photo,I know Charlie Chaplin has shown up a few time before on this blog but I really wanted to share one of my favorite pictures of...,http://fuckyeahhistorycrushes.tumblr.com/post/166187190962/i-know-charlie-chaplin-has-shown-up-a-few-time
fuckyeahhistorycrushes,photo,"Nāhiʻenaʻena was the only daughter of Kamehameha I, the first ruler of the Kingdom of Hawaii. She lived a short, bright, tragic...",http://fuckyeahhistorycrushes.tumblr.com/post/166150655354/nāhiʻenaʻena-was-the-only-daughter-of-kamehameha
fuckyeahhistorycrushes,photo,"Ladies and gentlemen, let me introduce you Alexander M'Donald (or McDonald). Portrait shows him in his early twenties (it...",http://fuckyeahhistorycrushes.tumblr.com/post/166116207537/ladies-and-gentlemen-let-me-introduce-you
fuckyeahhistorycrushes,photo,"King Louis XIV of France (1638-1715)
 He was the most powerful king of France and one of the most powerful rulers in the eyes...",http://fuckyeahhistorycrushes.tumblr.com/post/166082213367/king-louis-xiv-of-france-1638-1715-he-was-the
fuckyeahhistorycrushes,photo,"Louisa May Alcott not only had an unbreakable spirit and a brilliant mind, but also the most soulful pair of eyes I've ever...",http://fuckyeahhistorycrushes.tumblr.com/post/166047839192/louisa-may-alcott-not-only-had-an-unbreakable
fuckyeahhistorycrushes,photo,"Ever since I watched a documentary on the War of the Worlds broadcast, Orson Welles has become my new history crush! Not only...",http://fuckyeahhistorycrushes.tumblr.com/post/166013094943/ever-since-i-watched-a-documentary-on-the-war-of
historical-nonfiction,text,Why Crossbows Were Used Up Until The 1500s,http://historical-nonfiction.tumblr.com/post/167283062879/why-crossbows-were-used-up-until-the-1500s
historical-nonfiction,text,The Umayyad Caliphate At Its Greatest Size in 750 CE,http://historical-nonfiction.tumblr.com/post/167272696866/the-umayyad-caliphate-at-its-greatest-size-in-750
historical-nonfiction,photo,Archaeological evidence suggests that Fiji was settled in three waves of immigration between 1230 BCE-860 BCE by early...,http://historical-nonfiction.tumblr.com/post/167255504368/fishyswedes-historical-nonfiction
historical-nonfiction,photo,Archaeological evidence suggests that Fiji was settled in three waves of immigration between 1230 BCE-860 BCE by early...,http://historical-nonfiction.tumblr.com/post/167247125215/archaeological-evidence-suggests-that-fiji-was
historical-nonfiction,text,The Immortal Copyright,http://historical-nonfiction.tumblr.com/post/167236499760/the-immortal-copyright
historical-nonfiction,photo,"The turkey, the bird native in the Americas, is named after the country Turkey. That’s just in English; the story gets weirder....",http://historical-nonfiction.tumblr.com/post/167212804765/historical-nonfiction-the-turkey-the-bird
historical-nonfiction,photo,"Apparently even 800 years ago, Crusader forces knew it was a good idea to always leave yourself a way out of a sticky situation....",http://historical-nonfiction.tumblr.com/post/167210978692/apparently-even-800-years-ago-crusader-forces
historical-nonfiction,photo,"The turkey, the bird native in the Americas, is named after the country Turkey. That's just in English; the story gets weirder....",http://historical-nonfiction.tumblr.com/post/167200094206/the-turkey-the-bird-native-in-the-americas-is
historical-nonfiction,photo,"What did the hanging gardens of Babylon look like? Here are a couple different possibilities, by different researchers. So far...",http://historical-nonfiction.tumblr.com/post/167171698721/what-did-the-hanging-gardens-of-babylon-look-like
historical-nonfiction,text,The Cost of Hosting The Olympics Jumped Drastically In Less Than 10 Years,http://historical-nonfiction.tumblr.com/post/167160072359/the-cost-of-hosting-the-olympics-jumped
historical-nonfiction,photo,"Although Ryōan-ji, in Japan, has temples built as far back as the 1000s CE, the garden at Ryōan-ji was thought to have been...",http://historical-nonfiction.tumblr.com/post/167133864325/although-ryōan-ji-in-japan-has-temples-built-as
historical-nonfiction,photo,"The bow and arrow, scientists believe, were invented in the middle of the Stone Age -- so about 60,000 years ago. The first...",http://historical-nonfiction.tumblr.com/post/167123408375/the-bow-and-arrow-scientists-believe-were
historical-nonfiction,photo,"Pañamarca has impressive ruins from the Moche culture, which flourished on the northwest coast of Peru between 200 CE and 900...",http://historical-nonfiction.tumblr.com/post/167098116530/pañamarca-has-impressive-ruins-from-the-moche
historical-nonfiction,quote,It is important for all of us to appreciate where we come from and how that history has really shaped us in ways that we might...,http://historical-nonfiction.tumblr.com/post/167088200674/it-is-important-for-all-of-us-to-appreciate-where
historical-nonfiction,text,The North China Drought,http://historical-nonfiction.tumblr.com/post/167062342674/the-north-china-drought
historical-nonfiction,photo,"This beautiful depiction of a preaching Buddha was sculpted in Gandhara, a kingdom in northwestern Pakistan, around the 200s CE....",http://historical-nonfiction.tumblr.com/post/167052128321/this-beautiful-depiction-of-a-preaching-buddha-was
historical-nonfiction,photo,"In 1924, the Winter Olympics were held at Chamonix, in France. The only event that women could enter was figure skating. Fifteen...",http://historical-nonfiction.tumblr.com/post/167030333713/jartegn-historical-nonfiction-in-1924-the
historical-nonfiction,text,The Flying Angel,http://historical-nonfiction.tumblr.com/post/167026831645/the-flying-angel
historical-nonfiction,photo,"In 1924, the Winter Olympics were held at Chamonix, in France. The only event that women could enter was figure skating. Fifteen...",http://historical-nonfiction.tumblr.com/post/167016707534/in-1924-the-winter-olympics-were-held-at
historical-nonfiction,text,How Ancient Queens Put Their Names In The History Books,http://historical-nonfiction.tumblr.com/post/166993331458/how-ancient-queens-put-their-names-in-the-history
caravaggista,photo,,http://caravaggista.tumblr.com/post/167282857361
caravaggista,quote,"Bear patiently, my heart - for you have suffered heavier things.",http://caravaggista.tumblr.com/post/167282854236/bear-patiently-my-heart-for-you-have-suffered
caravaggista,photo,"Luca Giordano, Elemosina di S. Carlo Borromeo, XVII sec., museo del Prado, Madrid",http://caravaggista.tumblr.com/post/167274348381/theraccolta-luca-giordano-elemosina-di-s-carlo
caravaggista,photo,,http://caravaggista.tumblr.com/post/167225077316
caravaggista,quote,I have already died all the deaths there are.,http://caravaggista.tumblr.com/post/167225055981/i-have-already-died-all-the-deaths-there-are
caravaggista,quote,Too many things are occurring for even a big heart to hold.,http://caravaggista.tumblr.com/post/167225049916/too-many-things-are-occurring-for-even-a-big-heart
caravaggista,photo,when it rains,http://caravaggista.tumblr.com/post/167214392066/nutfisk-when-it-rains
caravaggista,photo,"The Roofs Of Paris

1886


 Vincent van Gogh",http://caravaggista.tumblr.com/post/167214382051/vincentvangogh-art-the-roofs-of-paris-1886
caravaggista,link,Emily Wilson translates the Odyssey,http://caravaggista.tumblr.com/post/167183725126/emily-wilson-translates-the-odyssey
caravaggista,photo,"Jan Gossaert, dit Mabuse, Jean Carondelet Diptych, 1517",http://caravaggista.tumblr.com/post/167176546806/lucysskeleton-jan-gossaert-dit-mabuse-jean
caravaggista,photo,"Whose Values?, a collaborative project between Barbara Kruger and local high school students, asks some big questions. Here’s...",http://caravaggista.tumblr.com/post/167176509561/thegetty-thegetty-whose-values-a
caravaggista,photo,,http://caravaggista.tumblr.com/post/167176437941
caravaggista,photo,,http://caravaggista.tumblr.com/post/166986416631
caravaggista,photo,Me watching you dig your own grave.,http://caravaggista.tumblr.com/post/166985084601/thegetty-me-watching-you-dig-your-own-grave
caravaggista,photo,I (masculine) am parched with thirst and am dying; but grant me to drink from the ever-flowing spring. On the right is a white...,http://caravaggista.tumblr.com/post/166985080766/thegetty-i-masculine-am-parched-with-thirst
caravaggista,photo,"Do you live in or near Los Angeles? Today the Getty Museum (@thegetty) announced an upcoming exhibit, Caravaggio: Masterpieces...",http://caravaggista.tumblr.com/post/166959480696/do-you-live-in-or-near-los-angeles-today-the
caravaggista,photo,"Madonna of Humility, 1419, Fra AngelicoSize: 58x102 cm Medium: panel, tempera",http://caravaggista.tumblr.com/post/166887726991/artist-angelico-madonna-of-humility-1419-fra
caravaggista,photo,"Teodoro Wolf-Ferrari, Poster for M1, the first Olivetti typewriter, 1912. Ivrea, Italy. Obviously recommended by Dante. Source",http://caravaggista.tumblr.com/post/166887706516/design-is-fine-teodoro-wolf-ferrari-poster-for
caravaggista,photo,Link to purchase: http://bit.ly/1RHwYlA,http://caravaggista.tumblr.com/post/166853939981/thegetty-link-to
caravaggista,photo,"The Girl and Death - Richard Bergh
 1888",http://caravaggista.tumblr.com/post/166555450226/fleurdulys-the-girl-and-death-richard-bergh
